season,date,game_team_abbr,team_name,all_nba,first_team_nba,second_team_nba,third_team_nba,all_nba_ly,first_team_nba_ly,second_team_nba_ly,third_team_nba_ly
2000-01,2001-03-13,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-15,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-17,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-18,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-21,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-23,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-25,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-26,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-29,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-31,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-01,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-03,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-04,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-06,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-08,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-10,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-12,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-14,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-16,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-04-17,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-10-31,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-02,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-04,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-06,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-08,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-09,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-11,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-15,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-17,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-18,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-22,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-24,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-25,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-28,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-11-29,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-12-01,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-12-02,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-12-05,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-12-07,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
2000-01,2000-12-09,MIN,Minnesota Timberwolves,1,0,1,0,0,0,0,0
